"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
1965-11-15,69.4,69.4,69.2,69.4,NA,69.4,284,3599
1965-11-12,69.4,69.6,69.1,69.3,NA,69.3,142,3440
1965-11-11,69.2,69.4,69.2,69.4,NA,69.4,142,3360
1965-11-10,69.2,69.3,69.1,69.3,NA,69.3,355,3375
1965-11-09,69.3,69.4,69.3,69.3,NA,69.3,155,3380
1965-11-08,69.2,69.3,69.1,69.2,NA,69.2,92,3350
1965-11-05,69.2,69.2,69.1,69.2,NA,69.2,115,3318
1965-11-04,68.7,69.2,68.6,69.2,NA,69.2,84,3298
1965-11-03,69.2,69.2,68.6,68.7,NA,68.7,215,3289
1965-11-02,69,69.2,68.7,69,NA,69,157,3284
1965-11-01,68.6,69,68.6,68.7,NA,68.7,20,3202
1965-10-29,68.6,68.6,68.4,68.5,NA,68.5,160,3202
1965-10-28,68.6,68.6,68.4,68.6,NA,68.6,265,3256
1965-10-27,68.1,68.7,68.1,68.5,NA,68.5,142,3341
1965-10-26,68,68,68,68,NA,68,15,3356
1965-10-25,68.3,68.3,68.2,68.2,NA,68.2,35,3351
1965-10-22,68.2,68.3,68.1,68.3,NA,68.3,40,3356
1965-10-21,68,68.2,68,68.1,NA,68.1,0,3331
1965-10-20,68,68,68,68,NA,68,20,3331
1965-10-19,68,68,68,68,NA,68,100,3321
1965-10-18,68,68.2,68,68,NA,68,14,3296
1965-10-15,68.2,68.2,68.2,68.2,NA,68.2,35,3296
1965-10-14,68.2,68.4,68.2,68.2,NA,68.2,205,3266
1965-10-13,68.1,68.2,68,68.2,NA,68.2,120,3381
1965-10-12,68.1,68.3,68,68,NA,68,137,3381
1965-10-11,68.5,68.6,68.1,68.2,NA,68.2,101,3349
1965-10-08,68,68.4,68,68.4,NA,68.4,40,3290
1965-10-07,67.7,68,67.7,68,NA,68,547,3300
1965-10-06,67.7,67.7,67.6,67.6,NA,67.6,1008,3158
1965-10-05,67.6,68,67.6,67.7,NA,67.7,118,2531
1965-10-04,67.4,67.6,67.4,67.5,NA,67.5,27,2521
1965-10-01,67.7,67.7,67.5,67.5,NA,67.5,172,2504
1965-09-30,68,68,67.5,67.5,NA,67.5,125,2387
1965-09-29,67.6,68.2,67.6,67.7,NA,67.7,95,2482
1965-09-28,67.4,67.6,67.2,67.5,NA,67.5,292,2427
1965-09-27,67.6,67.7,67.3,67.5,NA,67.5,265,2375
1965-09-24,67.6,67.6,67.4,67.4,NA,67.4,155,2260
1965-09-23,68.2,68.2,67.7,67.7,NA,67.7,130,2180
1965-09-22,68,68.2,68,68.2,NA,68.2,90,2180
1965-09-21,68.3,68.5,68,68.4,NA,68.4,315,6905
1965-09-20,68.4,68.5,68.3,68.4,NA,68.4,750,6895
1965-09-17,68.7,69.1,68.3,68.5,NA,68.5,397,6515
1965-09-16,68.4,69,68.4,68.6,NA,68.6,455,6318
1965-09-15,68.3,68.4,68.1,68.4,NA,68.4,667,6470
1965-09-14,68.2,68.4,68,68.2,NA,68.2,837,6158
1965-09-13,68.4,68.5,68.2,68.3,NA,68.3,612,5628
1965-09-10,69.1,69.1,68.4,68.7,NA,68.7,476,5358
1965-09-09,69.3,69.3,68.5,68.6,NA,68.6,192,5301
1965-09-08,69.4,69.4,69.1,69.2,NA,69.2,369,5273
1965-09-07,70,70.1,69.2,69.2,NA,69.2,610,5123
1965-09-03,70,70,69.4,69.6,NA,69.6,280,4813
1965-09-02,69.5,69.7,69.4,69.6,NA,69.6,430,4753
1965-09-01,69.5,69.6,69.3,69.5,NA,69.5,237,4583
1965-08-31,69.5,69.7,69.5,69.5,NA,69.5,447,4636
1965-08-30,69.3,69.7,69.2,69.6,NA,69.6,380,4694
1965-08-27,69.5,69.6,69.3,69.3,NA,69.3,242,4649
1965-08-26,69.2,69.4,69.2,69.2,NA,69.2,160,4601
1965-08-25,68.6,69.1,68.5,69,NA,69,259,4661
1965-08-24,68.4,68.7,68.3,68.5,NA,68.5,576,4651
1965-08-23,69,69,68.4,68.4,NA,68.4,235,4468
1965-08-20,69.3,69.4,69,69,NA,69,352,4353
1965-08-19,69.2,69.6,69.2,69.3,NA,69.3,270,4211
